error	AC147602.5_FG004
error	AC148152.3_FG001
error	AC148152.3_FG005
error	AC148152.3_FG006
error	AC148152.3_FG008
AC148167.6_FG001	Sb02g004800	Si029611m.g	LOC_Os07g08790	Bradi1g55170	none
AC233979.1_FG009	Sb06g026720	Si009455m.g	none	none	none
AC233979.1_FG010	Sb06g026730	none	none	none	none
AC233979.1_FG011	Sb06g026740	Si010350m.g	LOC_Os04g49700	Bradi5g19690	none
AC234091.1_FG001	none	Si026007m.g	none	none	none
AC234148.1_FG001	none	none	none	none	none
AC234149.1_FG001	none	none	none	none	none
AC234149.1_FG002	Sb09g025710	none	none	none	none
AC234152.1_FG002	Sb09g021160	Si021198m.g	LOC_Os05g35410	Bradi2g24450	none
AC234152.1_FG005	Sb09g021140	Si021244m.g	LOC_Os05g35360	Bradi2g24670	none
AC234152.1_FG007	Sb09g021160	Si021198m.g	none	Bradi2g24450	none
AC234154.1_FG007	none	none	none	none	none
AC234154.1_FG008	Sb02g029710	Si029774m.g	LOC_Os09g33820	Bradi4g35000	none
AC234155.1_FG002	Sb09g023830	Si022265m.g	LOC_Os05g40960	Bradi2g21880	none
AC234155.1_FG003	Sb09g023820	none	LOC_Os05g40950	Bradi2g21890	none
AC234156.1_FG004	none	none	none	none	none
AC234156.1_FG005	Sb07g028140	Si014283m.g	LOC_Os08g39270	Bradi3g39740	none
AC234157.1_FG002	Sb01g006910	Si037402m.g	LOC_Os03g55930	Bradi1g07370	30 s ribosomal protein s9, plastid
AC234157.1_FG003	Sb01g006940	Si037674m.g	LOC_Os03g55880	Bradi1g07420	none
AC234158.1_FG005	Sb01g028395	Si033875m.g	none	none	none
AC234159.1_FG002	Sb02g041920	none	none	none	none
AC234160.1_FG001	Sb03g008490	Si000051m.g	LOC_Os01g01960	Bradi2g00860	none
AC234160.1_FG003	Sb03g008350	none	none	none	none
AC234160.1_FG004	Sb03g008420	Si000537m.g	none	Bradi2g00900	none
AC234161.1_FG001	none	none	none	none	cortical cell protein
AC234161.1_FG002	Sb01g029620	Si038019m.g	LOC_Os10g40510	Bradi3g33060	none
AC234161.1_FG009	none	none	none	none	none
AC234161.1_FG010	Sb01g029640	Si038049m.g	LOC_Os10g40410	Bradi3g32900	none
AC234163.1_FG002	Sb02g024190	Si030293m.g	LOC_Os09g23550	Bradi4g29770	none
AC234164.1_FG003	none	none	none	none	none
AC234164.1_FG004	Sb10g001690	Si008220m.g	LOC_Os06g03710	Bradi1g49630	none
AC234165.1_FG002	Sb03g043400	Si001319m.g	none	Bradi2g58310	none
AC234165.1_FG003	none	none	none	none	none
AC234166.1_FG001	none	none	none	none	none
AC234166.1_FG002	none	none	none	none	none
AC234169.1_FG001	none	none	none	none	none
AC234169.1_FG004	Sb04g020060	none	LOC_Os02g29450	Bradi3g43730	none
AC234171.1_FG001	Sb09g005100	none	none	none	none
AC234171.1_FG003	Sb10g005090	Si006154m.g	LOC_Os06g07830	Bradi1g47920	none
AC234175.1_FG010	none	none	none	none	none
AC234180.1_FG002	Sb10g021760	Si006209m.g	LOC_Os06g35910	Bradi1g38170	none
AC234180.1_FG004	Sb10g021770	Si008400m.g	none	Bradi1g38160	none
AC234183.1_FG002	none	Si021237m.g	LOC_Os12g32986	Bradi4g06370	none
AC234185.1_FG002	none	none	none	none	none
AC234185.1_FG004	Sb09g029130	Si021485m.g	LOC_Os05g49770	Bradi2g15810	none
AC234185.1_FG005	none	none	none	none	none
AC234185.1_FG006	Sb09g029120	none	none	none	none
AC234185.1_FG007	Sb09g029100	Si022657m.g	LOC_Os05g49750	Bradi2g15820	none
error	AC234187.1_FG003
AC234190.1_FG001	Sb03g009420	Si004866m.g	LOC_Os01g14660	Bradi2g08780	none
AC234190.1_FG002	Sb03g009410	none	none	none	none
AC234199.1_FG001	none	none	none	none	none
AC234199.1_FG003	Sb03g008670	Si000140m.g	LOC_Os01g01689	Bradi2g00627	none
AC234201.1_FG003	Sb06g034170	Si021864m.g	LOC_Os04g59630	Bradi5g27617	none
AC234202.1_FG004	none	none	none	none	none
AC234202.1_FG005	none	none	none	none	none
AC234203.1_FG004	Sb07g027770	none	none	none	none
AC234203.1_FG009	none	none	none	none	none
AC234203.1_FG010	Sb07g027800	Si015805m.g	LOC_Os08g39740	Bradi3g39940	none
AC234203.1_FG011	Sb07g027790	Si013426m.g	LOC_Os08g39830	Bradi3g39970	none
AC234513.1_FG005	none	none	none	none	none
AC234515.1_FG002	none	none	none	none	none
AC234515.1_FG003	Sb04g004520	Si017205m.g	LOC_Os02g07060	Bradi3g05010	none
AC234517.1_FG005	none	none	none	none	none
AC234519.1_FG002	none	none	none	none	none
AC234519.1_FG003	Sb03g040000	none	none	none	none
AC234519.1_FG004	none	none	none	none	none
AC234519.1_FG005	Sb03g040000	Si000991m.g	LOC_Os01g63220	none	none
AC234519.1_FG008	none	none	none	none	none
AC234520.1_FG003	Sb08g019720	Si022287m.g	LOC_Os12g39640	Bradi4g03160	none
AC234520.1_FG005	Sb08g019730	Si021612m.g	LOC_Os12g39650	Bradi4g03150	none
AC234521.1_FG004	Sb06g023860	Si010943m.g	LOC_Os04g45520	Bradi5g16990	none
AC234521.1_FG006	none	none	none	none	none
AC234521.1_FG007	Sb06g023850	Si011989m.g	LOC_Os04g45510	none	none
AC234522.1_FG005	none	Si037219m.g	none	none	none
AC234522.1_FG009	none	none	none	none	none
AC234524.1_FG005	Sb10g022980	Si006267m.g	LOC_Os06g39080	Bradi1g37120	none
AC234526.1_FG005	Sb02g028600	Si030387m.g	LOC_Os09g31502	Bradi4g33886	none
AC234528.1_FG001	none	none	none	none	none
AC234528.1_FG004	Sb07g024060	Si014621m.g	LOC_Os08g44540	none	none
AC234528.1_FG005	Sb07g024070	Si013458m.g	LOC_Os08g44530	Bradi3g42960	none
AC234528.1_FG006	Sb07g024030	Si013917m.g	LOC_Os08g44590	Bradi3g42990	none
AC234575.1_FG003	none	none	none	none	none
AC234575.1_FG008	none	none	none	none	none
AC235011.1_FG012	Sb02g037320	none	none	none	none
error	AC235534.1_FG001
AC235534.1_FG007	Sb06g025750	Si009396m.g	LOC_Os04g48070	Bradi5g18717	ocl2 protein
AC235535.1_FG001	Sb03g014780	none	none	none	none
AC235539.1_FG001	none	none	none	none	none
error	AC235540.1_FG001
AC235540.1_FG002	none	Si028386m.g	none	none	none
AC235541.1_FG002	Sb06g013910	Si009473m.g	LOC_Os04g31940	Bradi5g08200	none
AC235543.1_FG002	Sb09g022090	Si021709m.g	LOC_Os05g37820	none	none
AC235543.1_FG003	Sb09g022110	Si023452m.g	LOC_Os05g37830	none	none
AC235544.1_FG002	none	Si038582m.g	LOC_Os03g08980	Bradi1g71897	none
AC235544.1_FG004	Sb01g044460	none	none	none	none
AC235544.1_FG006	none	none	none	none	none
AC235546.1_FG001	Sb02g006420	Si029050m.g	LOC_Os07g11070	Bradi1g54037	none
AC235546.1_FG002	none	none	none	none	none
AC235546.1_FG004	none	none	none	none	none
AC235547.1_FG005	Sb01g006710	Si034275m.g	LOC_Os03g56250	Bradi1g07200	none
AC235548.1_FG002	Sb10g030820	Si008297m.g	LOC_Os06g51140	Bradi1g29820	none
AF466202.2_FG007	none	none	none	none	none
AF466202.2_FG008	Sb06g024990	Si009736m.g	LOC_Os04g47010	Bradi5g18047	none
AF466202.2_FG010	none	none	none	none	none
AF466202.2_FG012	none	none	none	none	none
AF546187.1_FG001	none	none	none	none	zein-1 (alpha zein)
AF546187.1_FG007	none	none	none	none	zein-1 (alpha zein)
AF546187.1_FG009	none	none	none	none	none
AF546187.1_FG010	none	none	none	none	none
AF546187.1_FG011	Sb08g019480	Si021790m.g	LOC_Os12g39300	Bradi4g03440	none
AF546187.1_FG012	Sb08g019490	Si023013m.g	LOC_Os12g39400	Bradi4g03340	none
AF546188.1_FG001	none	none	none	none	none
AF546188.1_FG002	none	none	none	none	none
AF546188.1_FG003	none	none	none	none	none
AF546188.1_FG005	none	none	none	none	zein-1 (alpha zein)
AF546188.1_FG006	none	none	none	none	none
AF546188.1_FG007	none	none	none	none	zein-1 (alpha zein)
AY530952.1_FG001	Sb10g006710	Si005928m.g	LOC_Os06g10410	Bradi1g46387	none
AY542798.1_FG003	Sb01g012830	Si034539m.g	LOC_Os03g45730	Bradi1g13180	none
error	EF517601.1_FG006
error	EF517601.1_FG007
error	EF517601.1_FG009
error	EF517601.1_FG010
error	EF517601.1_FG011
error	EF517601.1_FG012
error	EF517601.1_FG014
error	EF517601.1_FG015
EF517601.1_FG016	none	none	none	none	mfs18 protein precursor
error	EF517601.1_FG020
error	EF517601.1_FG023
error	EF517601.1_FG025
GRMZM2G000014	Sb05g004790	Si026305m.g	LOC_Os11g07450	Bradi4g24480	none
GRMZM2G000035	Sb03g008260	none	LOC_Os01g02130	Bradi2g01030	none
GRMZM2G000039	Sb06g028900	Si009393m.g	LOC_Os04g52940	Bradi5g22100	none
GRMZM2G000044	Sb06g028920	Si012389m.g	LOC_Os04g52950	Bradi5g22110	none
GRMZM2G000047	none	none	none	none	none
GRMZM2G000052	Sb06g028970	Si009973m.g	LOC_Os04g53190	Bradi5g22220	none
GRMZM2G000071	none	none	none	none	none
GRMZM2G000076	Sb08g007740	Si024936m.g	none	none	none
error	GRMZM2G000092
GRMZM2G000093	Sb06g030640	Si009675m.g	LOC_Os04g55500	Bradi5g23976	none
GRMZM2G000103	none	none	none	none	none
GRMZM2G000107	Sb03g011960	none	LOC_Os01g18910	Bradi2g11295	none
GRMZM2G000114	Sb06g002790	Si009502m.g	LOC_Os04g10680	none	none
error	GRMZM2G000116
error	GRMZM2G000118
GRMZM2G000122	none	none	none	none	none
error	GRMZM2G000124
GRMZM2G000126	Sb02g000330	none	LOC_Os07g01180	Bradi1g59750	none
GRMZM2G000127	none	none	none	none	none
GRMZM2G000129	none	none	none	none	none
GRMZM2G000158	Sb10g004590	Si007373m.g	LOC_Os06g07040	none	none
GRMZM2G000166	Sb06g026930	Si010717m.g	LOC_Os04g50020	Bradi5g19910	none
GRMZM2G000171	Sb10g030250	Si007107m.g	LOC_Os06g50310	Bradi1g30140	none
GRMZM2G000177	Sb03g029780	Si000057m.g	LOC_Os01g46510	Bradi2g45380	none
GRMZM2G000195	none	none	none	none	none
GRMZM2G000199	Sb01g045590	Si039332m.g	LOC_Os03g07700	none	none
GRMZM2G000209	Sb01g033670	Si035949m.g	none	none	none
GRMZM2G000219	Sb01g033700	Si039969m.g	LOC_Os03g27040	Bradi1g60840	none
GRMZM2G000221	Sb02g009340	Si031681m.g	none	none	none
GRMZM2G000223	none	none	none	none	none
GRMZM2G000231	Sb10g007280	Si006001m.g	LOC_Os06g11190	Bradi1g45890	none
GRMZM2G000236	Sb10g007330	Si006673m.g	LOC_Os06g11290	Bradi1g45880	12-oxo-phytodienoic acid reductase
GRMZM2G000245	Sb06g021700	Si009363m.g	LOC_Os04g42320	Bradi5g14790	none
GRMZM2G000254	none	Si024329m.g	LOC_Os05g25620	none	none
GRMZM2G000256	Sb03g028010	Si002383m.g	LOC_Os01g43070	Bradi2g43680	none
GRMZM2G000261	Sb06g021690	Si012445m.g	LOC_Os04g42310	Bradi5g14780	none
GRMZM2G000264	none	none	none	none	none
GRMZM2G000268	Sb06g018100	Si010586m.g	LOC_Os04g37470	Bradi5g11620	none
GRMZM2G000269	Sb04g022405	none	none	none	none
GRMZM2G000271	none	none	none	none	none
GRMZM2G000278	Sb04g022410	Si017369m.g	LOC_Os02g34600	Bradi3g45460	none
GRMZM2G000280	Sb04g029450	Si017441m.g	LOC_Os02g49320	Bradi3g56460	none
GRMZM2G000281	Sb02g028950	Si031988m.g	none	none	none
GRMZM2G000288	none	none	none	none	none
GRMZM2G000292	Sb03g008220	Si005491m.g	LOC_Os01g02170	Bradi2g01090	none
GRMZM2G000326	Sb09g001020	Si023875m.g	LOC_Os05g01920	Bradi2g39260	none
GRMZM2G000332	none	none	none	none	none
GRMZM2G000339	Sb08g014050	Si023609m.g	none	Bradi4g07534	none
GRMZM2G000353	Sb10g030990	Si007197m.g	none	Bradi1g29610	none
GRMZM2G000361	Sb02g035690	Si030927m.g	LOC_Os07g36180	Bradi1g25360	none
GRMZM2G000371	Sb10g005130	none	none	none	none
GRMZM2G000376	Sb10g031010	none	none	none	none
GRMZM2G000380	Sb04g023650	Si016793m.g	LOC_Os02g36350	Bradi3g46540	none
GRMZM2G000393	Sb10g005160	Si007976m.g	LOC_Os06g08005	Bradi1g47860	none
GRMZM2G000397	Sb06g027480	Si011172m.g	LOC_Os04g51240	Bradi5g20620	none
GRMZM2G000404	Sb02g026980	Si028935m.g	LOC_Os09g28940	Bradi4g32500	none
GRMZM2G000411	none	none	none	none	none
GRMZM2G000423	Sb10g005180	Si008155m.g	LOC_Os06g07932	Bradi1g47830	none
GRMZM2G000427	Sb01g045120	Si035105m.g	LOC_Os03g08410	Bradi1g72500	none
GRMZM2G000431	Sb06g003790	none	none	Bradi5g04710	none
GRMZM2G000435	Sb07g025110	Si014200m.g	LOC_Os08g43350	Bradi3g42140	none
GRMZM2G000448	none	none	none	none	none
GRMZM2G000451	Sb02g041190	Si029810m.g	LOC_Os07g45100	Bradi1g19640	none
GRMZM2G000453	Sb02g036470	Si031280m.g	LOC_Os07g37700	Bradi1g24640	none
GRMZM2G000471	Sb07g003360	Si015217m.g	LOC_Os08g05580	none	none
GRMZM2G000481	Sb07g003350	Si013913m.g	LOC_Os08g05490	Bradi3g17200	none
GRMZM2G000483	Sb03g005560	Si003165m.g	LOC_Os01g06220	none	none
GRMZM2G000489	Sb03g005570	Si002225m.g	LOC_Os01g06060	none	none
GRMZM2G000510	Sb05g027910	Si026687m.g	LOC_Os11g48040	Bradi4g09060	none
GRMZM2G000520	Sb04g031960	Si018039m.g	LOC_Os02g45420	Bradi3g51610	none
GRMZM2G000531	none	none	LOC_Os11g48020	Bradi4g09090	none
GRMZM2G000536	none	none	none	none	none
GRMZM2G000540	Sb01g021330	Si034147m.g	none	Bradi3g27136	none
GRMZM2G000566	Sb10g024080	Si005815m.g	LOC_Os06g41030	Bradi1g36017	none
GRMZM2G000576	Sb05g003960	Si027303m.g	LOC_Os11g06690	Bradi4g24707	none
GRMZM2G000581	Sb03g044530	Si001623m.g	LOC_Os01g70200	Bradi2g59410	none
GRMZM2G000586	Sb05g027900	Si027412m.g	none	Bradi4g09100	none
GRMZM2G000587	Sb10g008830	Si006389m.g	LOC_Os06g13760	Bradi1g44470	none
GRMZM2G000592	Sb07g000830	Si015084m.g	LOC_Os08g01630	none	none
GRMZM2G000593	none	none	none	none	none
GRMZM2G000601	Sb02g019480	Si031414m.g	none	Bradi4g27430	none
error	GRMZM2G000603
GRMZM2G000608	Sb05g022560	Si026102m.g	LOC_Os11g37100	Bradi4g15330	none
GRMZM2G000610	Sb04g035210	Si017041m.g	LOC_Os02g54200	Bradi3g60150	none
GRMZM2G000614	Sb03g033300	Si000040m.g	LOC_Os01g52560	Bradi2g48620	none
GRMZM2G000615	Sb03g036240	Si000137m.g	LOC_Os01g56910	Bradi2g51620	none
GRMZM2G000620	Sb06g029740	Si009360m.g	LOC_Os08g08140	Bradi5g23080	none
GRMZM2G000622	none	Si033895m.g	none	none	none
GRMZM2G000623	Sb10g008840	none	none	none	none
GRMZM2G000632	Sb01g037860	Si035930m.g	none	none	none
GRMZM2G000633	Sb06g029725	Si009333m.g	LOC_Os08g08140	Bradi5g22930	none
GRMZM2G000640	Sb02g036620	Si032676m.g	LOC_Os07g37920	Bradi1g24390	none
GRMZM2G000645	none	Si005813m.g	LOC_Os06g05180	Bradi1g51210	none
GRMZM2G000650	Sb06g029700	none	none	none	none
GRMZM2G000652	Sb05g024390	none	none	none	none
GRMZM2G000660	Sb08g002770	Si026743m.g	LOC_Os11g02180	none	none
GRMZM2G000665	Sb02g029720	Si030332m.g	LOC_Os09g33830	Bradi4g35020	none
error	GRMZM2G000670
GRMZM2G000674	Sb10g007640	Si008652m.g	none	none	none
error	GRMZM2G000679
GRMZM2G000686	Sb01g045500	Si037269m.g	LOC_Os03g07880	Bradi1g72960	nf-ya, ccaat-box binding protein subunit a
GRMZM2G000692	Sb02g029700	none	none	none	none
GRMZM2G000700	Sb09g030000	Si021944m.g	none	Bradi2g14840	none
GRMZM2G000703	none	none	none	none	none
GRMZM2G000706	none	none	none	none	none
GRMZM2G000707	none	none	none	none	none
GRMZM2G000710	Sb06g000390	Si010949m.g	LOC_Os04g01240	Bradi5g02390	none
GRMZM2G000713	none	none	none	none	none
GRMZM2G000718	Sb02g040620	Si030817m.g	LOC_Os07g44350	Bradi1g20080	none
GRMZM2G000719	Sb03g030380	Si001380m.g	LOC_Os01g47450	Bradi2g45830	none
GRMZM2G000729	none	Si024485m.g	none	none	none
GRMZM2G000737	none	none	none	none	none
GRMZM2G000739	Sb03g028760	Si001666m.g	LOC_Os01g44050	Bradi2g44360	none
GRMZM2G000741	Sb01g045490	Si036574m.g	LOC_Os03g07890	Bradi1g72940	none
GRMZM2G000743	Sb01g009460	Si036193m.g	LOC_Os03g51710	Bradi1g10047	knox3
GRMZM2G000749	Sb01g046585	Si034361m.g	LOC_Os03g06190	Bradi1g74597	none
GRMZM2G000752	none	none	none	none	none
GRMZM2G000753	Sb10g027165	Si006324m.g	LOC_Os06g46366	Bradi1g32600	none
GRMZM2G000764	Sb04g027500	Si016589m.g	LOC_Os02g51860	Bradi3g58730	none
GRMZM2G000775	none	none	none	none	none
GRMZM2G000777	none	Si024223m.g	LOC_Os05g08920	none	none
error	GRMZM2G000781
error	GRMZM2G000801
GRMZM2G000812	none	none	none	none	sweet
GRMZM2G000816	Sb09g021870	Si022531m.g	LOC_Os05g37200	Bradi2g23860	none
GRMZM2G000818	none	Si030943m.g	LOC_Os09g36730	Bradi4g36460	none
GRMZM2G000823	Sb01g046570	Si035336m.g	LOC_Os03g06220	Bradi1g74580	none
GRMZM2G000825	none	Si029602m.g	LOC_Os09g36740	Bradi4g36470	none
GRMZM2G000829	none	none	none	none	none
GRMZM2G000836	Sb09g021850	Si022296m.g	LOC_Os05g37190	Bradi2g23870	none
GRMZM2G000842	Sb09g021840	Si022106m.g	LOC_Os05g37170	Bradi2g23890	none
GRMZM2G000874	none	none	none	none	none
GRMZM2G000877	none	none	none	none	none
GRMZM2G000909	Sb10g001810	Si006489m.g	LOC_Os06g03840	Bradi1g49730	none
GRMZM2G000923	Sb01g035320	Si037549m.g	none	Bradi1g62360	none
GRMZM2G000932	Sb10g001800	Si006772m.g	LOC_Os06g03830	Bradi1g49720	none
GRMZM2G000936	Sb05g022780	Si025963m.g	LOC_Os11g37520	Bradi4g15130	none
GRMZM2G000937	none	Si016829m.g	LOC_Os02g02110	Bradi3g01150	none
GRMZM2G000959	none	none	none	none	none
GRMZM2G000964	Sb04g005900	none	none	none	none
GRMZM2G000973	Sb06g023870	Si009859m.g	LOC_Os04g45570	Bradi5g17000	none
GRMZM2G000976	Sb04g005890	Si017359m.g	LOC_Os02g09430	Bradi3g06390	none
GRMZM2G000980	none	Si009477m.g	LOC_Os04g31620	Bradi5g07850	none
GRMZM2G001004	none	none	none	none	none
GRMZM2G001024	none	none	none	none	none
GRMZM2G001033	Sb04g025360	Si017384m.g	LOC_Os02g39200	Bradi3g48120	none
GRMZM2G001035	Sb06g023860	Si010943m.g	LOC_Os04g45520	Bradi5g16990	none
GRMZM2G001043	none	Si026758m.g	LOC_Os11g09150	Bradi4g23280	none
GRMZM2G001048	none	Si027380m.g	LOC_Os11g09160	none	none
GRMZM2G001058	Sb08g017290	Si025082m.g	LOC_Os12g35710	Bradi4g05480	none
GRMZM2G001079	Sb01g038640	Si036401m.g	LOC_Os03g17850	Bradi1g65750	none
GRMZM2G001084	Sb06g014590	Si009304m.g	LOC_Os04g32560	none	none
GRMZM2G001088	Sb03g043440	Si002168m.g	LOC_Os01g68310	none	none
GRMZM2G001097	Sb04g025460	Si017654m.g	LOC_Os02g39290	Bradi3g48250	none
GRMZM2G001106	Sb06g023620	none	LOC_Os04g45060	Bradi5g16707	none
GRMZM2G001114	Sb02g020450	Si029473m.g	LOC_Os09g12720	Bradi4g27590	none
GRMZM2G001116	Sb05g026290	Si027265m.g	none	Bradi4g10250	none
GRMZM2G001131	none	none	none	none	none
GRMZM2G001139	Sb03g033380	Si002988m.g	LOC_Os01g52680	Bradi2g48690	none
GRMZM2G001145	none	none	none	none	none
GRMZM2G001160	Sb05g026350	Si026112m.g	none	Bradi4g10110	none
GRMZM2G001164	Sb04g025480	Si020057m.g	LOC_Os02g39230	Bradi3g48380	none
GRMZM2G001169	Sb05g026360	Si026557m.g	none	Bradi4g10117	none
GRMZM2G001173	none	none	none	none	none
GRMZM2G001180	Sb05g025540	Si026110m.g	LOC_Os11g42160	Bradi4g11900	none
GRMZM2G001191	none	Si034285m.g	none	none	none
GRMZM2G001194	none	none	none	none	none
GRMZM2G001195	none	none	none	none	none
GRMZM2G001200	Sb05g020340	Si026724m.g	LOC_Os11g33050	Bradi4g17060	none
GRMZM2G001205	Sb09g001560	Si023353m.g	LOC_Os05g02390	Bradi2g37430	none
GRMZM2G001219	Sb03g027780	Si003967m.g	LOC_Os01g42760	Bradi2g43390	none
GRMZM2G001221	Sb09g026650	Si023239m.g	LOC_Os05g45810	Bradi2g18740	calcineurin-b like protein
GRMZM2G001223	Sb04g024000	Si017851m.g	LOC_Os02g36890	Bradi3g46910	none
GRMZM2G001241	Sb06g021990	Si010425m.g	LOC_Os04g42860	Bradi5g15160	none
GRMZM2G001243	none	Si022343m.g	none	Bradi2g18510	none
GRMZM2G001247	Sb02g042730	Si031406m.g	LOC_Os07g47750	Bradi1g17980	none
GRMZM2G001255	Sb03g027790	Si003001m.g	LOC_Os01g42770	Bradi2g43400	none
GRMZM2G001265	Sb06g004040	none	none	Bradi5g05140	none
GRMZM2G001272	Sb08g004000	Si010144m.g	LOC_Os12g06630	Bradi4g41820	tubby-like protein
GRMZM2G001288	Sb01g034190	Si035574m.g	LOC_Os03g25790	Bradi1g61320	none
GRMZM2G001289	Sb06g029270	Si009409m.g	LOC_Os04g53540	Bradi5g22570	none
GRMZM2G001296	Sb03g027800	Si001264m.g	LOC_Os01g42800	Bradi2g43437	none
GRMZM2G001297	Sb02g042770	Si028932m.g	LOC_Os07g47820	Bradi1g17950	none
GRMZM2G001304	Sb09g025790	Si021103m.g	LOC_Os05g44210	Bradi2g19640	trehalose-6-phosphate synthase
GRMZM2G001327	none	none	none	none	none
GRMZM2G001332	none	none	none	none	none
GRMZM2G001334	Sb06g029260	Si009643m.g	LOC_Os04g53530	Bradi5g22560	none
GRMZM2G001342	Sb05g009370	Si026891m.g	none	none	none
GRMZM2G001361	none	none	none	none	none
GRMZM2G001363	Sb06g025700	Si011054m.g	LOC_Os04g48020	Bradi5g18670	none
GRMZM2G001388	none	none	none	none	none
GRMZM2G001401	none	none	none	none	none
GRMZM2G001405	Sb05g021830	none	none	none	none
GRMZM2G001415	Sb08g000235	Si028054m.g	LOC_Os12g01060	Bradi4g45340	none
GRMZM2G001421	Sb03g001490	Si000531m.g	LOC_Os01g12160	Bradi2g07227	none
GRMZM2G001426	none	none	none	none	none
GRMZM2G001444	Sb05g025520	Si026776m.g	LOC_Os11g42000	Bradi4g12037	none
GRMZM2G001447	Sb08g000240	Si027626m.g	LOC_Os12g01080	Bradi4g45330	none
GRMZM2G001451	Sb03g011620	none	LOC_Os01g18220	Bradi2g11070	none
GRMZM2G001454	Sb10g018040	none	none	none	none
GRMZM2G001457	Sb08g000260	Si025927m.g	LOC_Os12g01140	Bradi4g45310	serine/threonine protein kinase
GRMZM2G001466	Sb08g003980	Si012080m.g	LOC_Os12g06650	Bradi4g41840	none
GRMZM2G001497	Sb03g044030	Si004175m.g	LOC_Os01g69160	Bradi2g59010	none
GRMZM2G001500	none	Si021359m.g	none	Bradi4g39470	none
GRMZM2G001508	Sb09g005960	Si022908m.g	none	Bradi2g33317	none
GRMZM2G001514	Sb09g028490	Si022977m.g	LOC_Os05g48900	Bradi2g16560	none
GRMZM2G001524	none	none	none	none	none
GRMZM2G001530	Sb07g004030	Si014113m.g	LOC_Os08g06240	Bradi3g16420	none
GRMZM2G001541	Sb07g027800	Si015805m.g	LOC_Os08g39740	Bradi3g39940	none
GRMZM2G001551	Sb07g004020	Si013699m.g	LOC_Os08g06230	Bradi3g16440	none
GRMZM2G001566	none	none	none	none	none
GRMZM2G001577	Sb01g020505	Si038161m.g	LOC_Os10g30880	none	none
GRMZM2G001592	Sb01g020500	Si036112m.g	LOC_Os10g30890	none	none
GRMZM2G001606	Sb01g020490	Si036112m.g	LOC_Os10g30890	none	none
GRMZM2G001627	none	none	none	none	none
GRMZM2G001631	Sb01g015666	Si034187m.g	LOC_Os03g38740	Bradi1g15440	none
GRMZM2G001639	Sb02g030400	Si030668m.g	LOC_Os09g35680	Bradi4g35700	none
GRMZM2G001645	Sb02g028630	Si029207m.g	LOC_Os09g31970	Bradi4g33910	none
GRMZM2G001648	none	none	none	none	none
GRMZM2G001652	Sb02g022610	Si028819m.g	LOC_Os09g17760	Bradi4g28430	none
GRMZM2G001653	Sb06g016090	Si011260m.g	LOC_Os04g33830	Bradi5g09530	none
GRMZM2G001660	Sb02g025860	Si033308m.g	LOC_Os09g26999	Bradi4g31417	none
GRMZM2G001661	Sb01g001370	Si039177m.g	LOC_Os03g63060	Bradi1g01820	none
GRMZM2G001663	Sb01g040730	Si034492m.g	LOC_Os03g15040	Bradi1g67740	none
GRMZM2G001668	Sb02g010180	Si030245m.g	none	none	none
GRMZM2G001676	Sb01g019630	Si034741m.g	LOC_Os10g33210	Bradi3g28410	none
GRMZM2G001696	Sb01g040720	Si034404m.g	LOC_Os03g15050	Bradi1g67730	phosphoenolpyruvate carboxykinase
GRMZM2G001699	none	none	none	none	none
GRMZM2G001713	none	none	none	none	none
GRMZM2G001721	none	none	none	none	none
GRMZM2G001724	Sb01g015680	Si035978m.g	LOC_Os03g38730	Bradi1g15450	none
GRMZM2G001750	Sb02g024630	Si030259m.g	LOC_Os09g24710	Bradi4g30210	none
GRMZM2G001755	Sb03g018270	Si003058m.g	none	Bradi2g13680	none
GRMZM2G001764	Sb01g019640	Si034583m.g	LOC_Os10g33170	Bradi3g28400	none
GRMZM2G001772	Sb01g015690	Si040104m.g	LOC_Os03g38640	Bradi1g15460	none
GRMZM2G001777	Sb05g025680	Si025937m.g	none	none	none
GRMZM2G001799	Sb10g004590	Si007373m.g	LOC_Os06g07040	none	none
GRMZM2G001803	Sb07g022720	Si013901m.g	LOC_Os08g36420	Bradi3g37910	none
GRMZM2G001805	Sb06g013740	Si011123m.g	LOC_Os04g31690	Bradi5g07870	none
GRMZM2G001812	Sb01g019670	Si033953m.g	LOC_Os10g33040	Bradi3g28380	none
GRMZM2G001814	none	none	none	none	none
GRMZM2G001816	Sb10g021710	none	LOC_Os06g35730	none	none
GRMZM2G001820	Sb02g034680	Si030500m.g	LOC_Os07g33220	Bradi1g26287	none
GRMZM2G001824	Sb09g002675	Si022474m.g	LOC_Os05g04210	Bradi2g38560	none
GRMZM2G001827	none	none	none	none	none
GRMZM2G001845	none	Si038807m.g	LOC_Os10g32990	Bradi3g28367	none
GRMZM2G001850	Sb01g019710	Si034547m.g	none	none	none
GRMZM2G001853	Sb06g013760	Si010791m.g	LOC_Os04g31710	Bradi5g07910	none
GRMZM2G001867	none	none	none	none	none
GRMZM2G001869	Sb01g008590	Si036945m.g	LOC_Os03g53000	Bradi1g09187	none
GRMZM2G001875	Sb03g003120	Si002629m.g	LOC_Os01g09590	Bradi2g05740	none
GRMZM2G001877	none	none	none	none	none
GRMZM2G001887	Sb01g019040	Si037816m.g	LOC_Os10g34180	Bradi3g29087	none
GRMZM2G001889	none	none	none	none	none
